title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,search_keyword,matched_ingredients
"뉴트리코어 <b>수면</b>엔 락티움 600mg x 60정, 1개",https://search.shopping.naver.com/catalog/56754371826,https://shopping-phinf.pstatic.net/main_5675437/56754371826.20250916150834.jpg,66000,,네이버,56754371826,1,뉴트리코어,노바렉스,식품,건강식품,영양제,기타건강보조식품,수면 영양제,락티움
"네이처셀렉 릴렉스트레스+ L테아닌 마그네슘 트립토판 비타민D 긴장완화 <b>수면영양제</b> 60정, 2개",https://search.shopping.naver.com/catalog/58377236534,https://shopping-phinf.pstatic.net/main_5837723/58377236534.20260104010252.jpg,39000,,네이버,58377236534,1,네이처셀렉,,식품,건강식품,영양제,테아닌,수면 영양제,테아닌|마그네슘|트립토판
"애터미 꿀잠 락티움 700mg x 60정, 1개",https://search.shopping.naver.com/catalog/56752113751,https://shopping-phinf.pstatic.net/main_5675211/56752113751.20250916110143.jpg,37450,,네이버,56752113751,1,애터미,콜마비앤에이치,식품,건강식품,영양제,기타건강보조식품,수면 영양제,락티움
"CMG건강연구소 <b>수면</b>건강 오늘은 휴 락티움 테아닌 700mg x 60정, 1개",https://search.shopping.naver.com/catalog/51929494989,https://shopping-phinf.pstatic.net/main_5192949/51929494989.20251120160706.jpg,28900,,네이버,51929494989,1,CMG건강연구소,노바렉스,식품,건강식품,영양제,테아닌,수면 영양제,테아닌|락티움
"서흥 멜라메이트 트리플액션 맥스 식물성 멜라토닌 5mg 800mg x 30정, 3개",https://search.shopping.naver.com/catalog/58812841192,https://shopping-phinf.pstatic.net/main_5881284/58812841192.20260205143316.jpg,34630,,네이버,58812841192,1,멜라메이트,서흥,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
"[슬립포뮬러] 메디셜 식물성멜라토닌 2mg 리포좀 세로토닌 트립토판 피스좀 30정, 4개",https://smartstore.naver.com/main/products/11631458964,https://shopping-phinf.pstatic.net/main_8917596/89175969409.21.jpg,114200,,메디셜,89175969409,2,메디셜,오투바이오,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌|트립토판
"식물성 미국 멜라토닌 2mg 세인트존스워트 젠틀루틴 <b>수면 영양제</b> 30정, 1개",https://smartstore.naver.com/main/products/12264509013,https://shopping-phinf.pstatic.net/main_8980901/89809019729.2.jpg,29700,,젠틀루틴,89809019729,2,,원네스팜,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌|세인트존스워트
인스 단잠톡 감태추출물 <b>수면 영양제</b> 부원료 흑하랑 상추 멀티비타민미네랄 테아닌,https://smartstore.naver.com/main/products/11390792136,https://shopping-phinf.pstatic.net/main_8893530/88935302501.2.jpg,29000,,인스,88935302501,2,천연스토리,상상바이오,식품,건강식품,영양제,기타건강보조식품,수면 영양제,테아닌|감태
"콜마비앤에이치 포뮬라인 테라드림 식물성 멜라토닌 3000mg x 20포, 1개",https://search.shopping.naver.com/catalog/56558966281,https://shopping-phinf.pstatic.net/main_5655896/56558966281.20251120163851.jpg,28900,,네이버,56558966281,1,포뮬라인,콜마비앤에이치,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
"[화학부형제 합성첨가물 X] 고라카 식물성 멜라토닌 1mg 미국 세로토닌 120정, 2개",https://smartstore.naver.com/main/products/12375684346,https://shopping-phinf.pstatic.net/main_8992019/89920195063.1.jpg,56000,,고라카 공식스토어,89920195063,2,,코스맥스바이오,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
